head,type,tail
engineered PDGF BB,opposite of,wild type PDGF BB
wild type PDGF BB,opposite of,engineered PDGF BB
Obesity,has effect,increasing the risk of many diseases
increasing the risk of many diseases,has cause,Obesity
Leningrad,located in the administrative territorial entity,Russia
Russia,contains administrative territorial entity,Leningrad
high salt high food diet,has effect,T2DM
small intestine,has part,Halorubrum luteum
MRP4,subclass of,MRP
apo inward open,followed by,outward open states
outward open states,follows,apo inward open
dewetting,subclass of,wetting
partial wetting,subclass of,wetting
complete wetting,subclass of,wetting
AMP activated protein kinase,part of,molecular hub
ATP <subj>AMP,different from,ATP
Myosin Phosphatase,part of,Myosin II
Myosin II,has part,Myosin Phosphatase
PD 1,has part,PD L1
PD L1,part of,PD 1
Osteoarthritis,subclass of,age related degenerative disease
HGPS,different from,OA
OA,different from,HGPS
clinical testing,part of,clinical application
clinical application,has part,clinical testing
glass transition temperature,facet of,crystallinity
TDY α,instance of,device efficiency
tethered,has part,small molecule acceptors
small molecule acceptors,part of,tethered
Prevotella salivae,parent taxon,Selenomonas sputigena
caries,has cause,S. mutans
S. mutans,has effect,caries
Sodium Glucose Cotransporters,part of,sugar metabolism
sugar metabolism,has part,Sodium Glucose Cotransporters
SGLT1,followed by,SGLT2
extracellular gate,opposite of,intracellular gate
intracellular gate,opposite of,extracellular gate
SGLT,subclass of,transporters
Multiple myeloma,subclass of,plasma cell (PC) malignancy
disease subtypes,part of,clinical behavior
CXCL5,subject has role,chemoattractant
CXCL7/PPBP,subject has role,chemoattractant
control mice,opposite of,neutrophil depleted mice
neutrophil depleted mice,opposite of,control mice
Symbiodiniaceae,parent taxon,algal symbionts
Symbiodiniaceae,parent taxon,coral animal
Symbiodiniaceae,instance of,symbiophagy
vaccinia E5,instance of,virulence factor
dendritic cell,subclass of,T cell
F1 score,facet of,simulated data
NEUROD1 high expression subtype,has part,NEUROD1
complex with human leukocyte antigen class I,facet of,HIV 1
QW9,instance of,epitope
HLA B53,different from,HLA B57
HLA B57,different from,HLA B53
QW9 HLA,followed by,QW9_S3T HLA
QW9_S3T HLA,follows,QW9 HLA
QW9 B53,instance of,ternary complex
QW9_S3T B53,instance of,ternary complex
B57,subclass of,cross reactive TCRs
Iminosugars,subclass of,GH inhibitor
N acetyl α galactosaminidase,subject has role,iminosugar inhibitor
DGJNGuan,has part,guanidino
in vitro,different from,in cell assays
in cell assays,different from,in vitro
satellite imagery,instance of,image classification
random forest classification,subclass of,image analysis
sustainable action,said to be the same as,value action gap
value action gap,said to be the same as,sustainable action
University of Ulm,has part,Human Medicine
University of Ulm,has part,Dentistry
University of Ulm,has part,Molecular Medicine
University of Ulm,has part,Biology
Human Medicine,part of,University of Ulm
Dentistry,part of,University of Ulm
Molecular Medicine,part of,University of Ulm
Biology,part of,University of Ulm
stereotypes,subclass of,prejudices
Nizhny Novgorod,located in the administrative territorial entity,Novgorod Oblast
Novgorod Oblast,contains administrative territorial entity,Nizhny Novgorod
TFAP2A,followed by,TFAP2C
TFAP2C,follows,TFAP2A
amniotic cell,part of,posterior epiblast
posterior epiblast,has part,amniotic cell
receptor ligand complex,subclass of,intracellular trafficking
endosome <subj>lysosome,part of,endosome
Clathrin dependent endocytosis,opposite of,non clathrin dependent pathways
non clathrin dependent pathways,opposite of,Clathrin dependent endocytosis
PubMed,instance of,scientific journal
10 19 years old,is a list of,referenced articles
20 years old,is a list of,referenced articles
Medical journal,opposite of,general science journal
general science journal,opposite of,Medical journal
2009,point in time,2009
paracrine,subclass of,dendritic cell
NK cell,part of,NK
IFN I signaling,has part,IFN Is
B ALL,has cause,IL 15
IL 15,has effect,B ALL
B ALL,subclass of,MYC
NK cell,product or material produced,IL 15
EV71 vaccine,has cause,CA16
CA16,has effect,EV71 vaccine
P MIRU,instance of,imaging system
visible,opposite of,non visible
non visible,opposite of,visible
MIRU,has part,P MIRU
217,said to be the same as,250
250 <subj>217,said to be the same as,250
Dayri,parent taxon,date palm
Estemaran,parent taxon,date palm
Fersi,parent taxon,date palm
Halavi,parent taxon,date palm
Zahedi,parent taxon,date palm
2 sex life table,instance of,age stage
Plodia interpunctella,instance of,date varieties
Zahedi,length,38.47
Estemaran,length,44.65
Estemaran,subclass of,Dayri
Fersi,subclass of,Dayri
Halavi,subclass of,Dayri
Zahedi,subclass of,Dayri
Estemaran,length,47.984
Zahedi,length,41.722
Halavi,parent taxon,Zahedi
Estemaran,parent taxon,P. interpunctella
Fersi,parent taxon,P. interpunctella
DNA extraction,subclass of,laboratory testing
MiSeq,developer,Illumina
American College Medical Genetics and Genomics,field of work,Genomics
stop gain,subclass of,splice site
industrial,instance of,sectors
Open Flow Microperfusion,uses,intact blood brain barrier
intact blood brain barrier,used by,Open Flow Microperfusion
atraumatic,subclass of,access
centre west,country,Tunisia
siltation,facet of,soil and water conservation
Dhkekira,country,Tunisia
2 m spatial resolution,subclass of,aerial photos
textural indices,subclass of,semi automatic classification
ANSWERS 2000,instance of,water erosion model
Priabonian,follows,Lutetian
Loess Plateau,country,China
bacterial network,opposite of,fungal network
fungal network,opposite of,bacterial network
Sphingomonadaceae,instance of,keystone families
Sporichthyaceae,instance of,keystone families
Mortierellaceae,instance of,keystone families
MFS,has part,TGF β2
Sucrose preference test,facet of,depressive like behavior
locomotor,has part,exploratory
exploratory,subclass of,locomotor
PM phenotype,opposite of,UM phenotype
UM phenotype,opposite of,PM phenotype
R2R3 MYB,has effect,patchouli
patchouli,parent taxon,Lamiaceae
free energy of binding,instance of,mode of interaction
electric fish,instance of,modality
Monte Carlo simulation,use,probability of target attainment
polymyxin B,instance of,1
continuous veno venous hemodiafiltration,subclass of,renal replacement therapy
two compartment model,subclass of,covariate on volume of distribution
polymyxin B,subject has role,therapeutic drug monitoring
Aurora Kinase A,subclass of,serine/threonine kinase
TMEM147 AS1,subclass of,non coding RNA
lipophagy,subclass of,feedback loop
VX 680,subclass of,siRNA
TMEM147 AS1,subclass of,siRNA
AURKA,has effect,EOC
EOC,has cause,AURKA
Dioscorea,taxonomic type,Yam
Orientation Supergene Cultivation,instance of,cultivation mode
OSC,different from,TVC
TVC,different from,OSC
Spodoptera litura,parent taxon,Helicoverpa armigera
variant version,subclass of,Canonical histone
alanine,subclass of,acetylatable
N terminal,part of,charge patch
3A00413,parent taxon,deep sea sulphide derived fungus
MS,subclass of,NMR
Staphylococcus aureus,parent taxon,Escherichia coli
Vibrio vulnificus,parent taxon,Staphylococcus aureus
compound 3,medical condition treated,Vibrio parahaemolyticus
Vibrio parahaemolyticus,drug used for treatment,compound 3
Phospholipid,part of,cellular membrane
cellular membrane,has part,Phospholipid
EDL muscle,opposite of,soleus muscle
soleus muscle,opposite of,EDL muscle
soleus,connects with,EDL muscle
EDL muscle,connects with,soleus
PGC 1α,part of,Peroxisome proliferator activated receptor γ coactivator 1α
soleus,connects with,EDL
EDL,connects with,soleus
ex vivo,opposite of,in vitro
BRK/PTK6,subclass of,non receptor tyrosine kinase
T47D,subclass of,TamR
TamR,opposite of,Par
Par,opposite of,TamR
CDK1,subclass of,regulatory kinase
labile,instance of,coping styles
World War I,followed by,World War II
World War II,follows,World War I
World War II,followed by,World War II
Oral inflammatory disease,country of origin,worldwide population
saliva,has part,crevicular fluid
crevicular fluid,part of,saliva
low cell contractility,subclass of,mutual feedback
vascularized adipose tissue engineering,subclass of,reconstructive
VATE,uses,cell source
VATE,use,clinical applications
co transcriptomic,studies,co transcriptome
co transcriptome,studied by,co transcriptomic
closely related,subclass of,taxa
TPC1,instance of,calcium influx channel gene
TPC1,instance of,genic convergence
vascular endothelial growth factor,has part,transforming growth factor beta
transforming growth factor beta,part of,vascular endothelial growth factor
Apostichopus japonicus,parent taxon,sea cucumber
MPs,has part,Polysulfides
Polysulfides,part of,MPs
World Health Organization,parent organization,United Nations
United Nations,subsidiary,World Health Organization
Apodemus sylvaticus,parent taxon,wood mice
field trial,facet of,natural setting
seed intake estimates can be obtained,main subject,seed intake
diet composition,facet of,food intake
Aatrex® Liquid 480,manufacturer,Syngenta
Vision® Silviculture Herbicide,manufacturer,Monsanto
Gosner,instance of,developmental stage
Traditional Chinese herbal medicine,subclass of,Chinese herbal medicine
nasopharyngeal carcinoma 6 10B and HK1 cells,drug used for treatment,trifolirhizin
IoT,subclass of,smart technologies
CSA,has effect,Cockayne Syndrome
Cockayne Syndrome,has cause,CSA
FAK,medical condition treated,DCM
DCM,drug used for treatment,FAK
STZ,has effect,T1DM
T1DM,has cause,STZ
H9c2 cells,subclass of,Cardiomyocyte
TAK1,medical condition treated,myocardial inflammatory injury
Retinoblastoma,subclass of,intraocular malignancy
developing countries,opposite of,industrialized countries
industrialized countries,opposite of,developing countries
miRNA,subclass of,non coding RNA
miRNA,subclass of,RNA
regulatory mechanisms,facet of,miRNAs
African blue tick,parent taxon,Rhipicephalus decoloratus
pre infestation,followed by,post infestation
post infestation,follows,pre infestation
hormone replacement therapy,facet of,post menopausal
functional decline,subclass of,post infarction remodeling
Sickle cell disease,has effect,shortened by approximately 20 years even with optimal clinical care
shortened by approximately 20 years even with optimal clinical care,facet of,Sickle cell disease
ASH Research Collaborative,parent organization,ASH
Consortium on Newborn Screening in Africa,part of,Sickle Cell Disease Clinical Trial Network
Sickle Cell Disease Clinical Trial Network,has part,Consortium on Newborn Screening in Africa
matrix Gla protein,subclass of,vitamin K dependent protein
vitamin K deficiency,has effect,Haemodialysis
vitamin K1,subject has role,orally thrice weekly
Linear mixed effects model,uses,repeated measures
repeated measures,used by,Linear mixed effects model
vitamin K1,subject has role,TAC
control group,opposite of,vitamin K1 group
vitamin K1 group,opposite of,control group
vitamin K1,medical condition treated,vitamin K deficiency
vitamin K deficiency,drug used for treatment,vitamin K1
Kinsella,product or material produced,Beef
PwVWD,subclass of,VWD
WFH Annual Global Survey,main subject,VWD registration
Europe,has part,Central Asia
Central Asia,part of,Europe
access to optimal healthcare infrastructure,facet of,National economic status
Middle East,has part,North Africa
North Africa,part of,Middle East
VWD,subclass of,VWD
HTC,member of,PwVWD
national income status,different from,low income countries
low income countries,different from,national income status
genetically engineer,facet of,immune rejection
Renalase,part of,beta cell
SV40,instance of,shuttle plasmid
stall replication fork progression,followed by,replication fork restart
replication fork restart,follows,stall replication fork progression
FLUXestimator,use,neural network architecture
FLUXestimator,instance of,webserver
RNA sequencing,uses,RNA
technical artifacts,facet of,library preparation
normalization strategy,subclass of,normalization methods
